INFO  - 2014-11-07 15:58:30.448; org.apache.solr.update.SolrIndexConfig; IndexWriter infoStream solr logging is enabled
INFO  - 2014-11-07 15:58:30.455; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: 4.10.0
INFO  - 2014-11-07 15:58:30.462; org.apache.solr.update.SolrIndexConfig; IndexWriter infoStream solr logging is enabled
INFO  - 2014-11-07 15:58:30.469; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: 4.10.0
INFO  - 2014-11-07 15:58:30.561; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2014-11-07 15:58:30.561; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2014-11-07 15:58:30.569; org.apache.solr.schema.IndexSchema; Reading Solr Schema from schema.xml
INFO  - 2014-11-07 15:58:30.569; org.apache.solr.schema.IndexSchema; Reading Solr Schema from schema.xml
INFO  - 2014-11-07 15:58:30.595; org.apache.solr.schema.IndexSchema; [wikwio] Schema name=biodiv
INFO  - 2014-11-07 15:58:30.600; org.apache.solr.schema.IndexSchema; [biodiv] Schema name=biodiv
INFO  - 2014-11-07 15:58:30.873; org.apache.solr.schema.IndexSchema; unique key field: id
WARN  - 2014-11-07 15:58:30.916; org.apache.solr.schema.AbstractSpatialFieldType; Using old worldBounds format? Should use ENVELOPE(xMin, xMax, yMax, yMin).
INFO  - 2014-11-07 15:58:30.992; org.apache.solr.core.CoreContainer; Creating SolrCore 'wikwio' using configuration from instancedir /apps/biodiv/solr/wikwio/
INFO  - 2014-11-07 15:58:31.015; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2014-11-07 15:58:31.022; org.apache.solr.core.SolrCore; [wikwio] Opening new SolrCore at /apps/biodiv/solr/wikwio/, dataDir=/apps/biodiv/solr/wikwio/data/
INFO  - 2014-11-07 15:58:31.024; org.apache.solr.core.JmxMonitoredMap; JMX monitoring is enabled. Adding Solr mbeans to JMX Server: com.sun.jmx.mbeanserver.JmxMBeanServer@1398c0b5
INFO  - 2014-11-07 15:58:31.048; org.apache.solr.core.SolrCore; [wikwio] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2014-11-07 15:58:31.049; org.apache.solr.core.SolrCore; [wikwio] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2014-11-07 15:58:31.064; org.apache.solr.core.CachingDirectoryFactory; return new directory for /apps/biodiv/solr/wikwio/data
INFO  - 2014-11-07 15:58:31.064; org.apache.solr.core.SolrCore; New index directory detected: old=null new=/apps/biodiv/solr/wikwio/data/index/
INFO  - 2014-11-07 15:58:31.065; org.apache.solr.core.CachingDirectoryFactory; return new directory for /apps/biodiv/solr/wikwio/data/index
INFO  - 2014-11-07 15:58:31.076; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2014-11-07 15:58:31.076; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2014-11-07 15:58:31.076; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2014-11-07 15:58:31.079; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2014-11-07 15:58:31.079; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2014-11-07 15:58:31.181; org.apache.solr.core.SolrCore; no updateRequestProcessorChain defined as default, creating implicit default
INFO  - 2014-11-07 15:58:31.189; org.apache.solr.core.RequestHandlers; created /update: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2014-11-07 15:58:31.189; org.apache.solr.core.RequestHandlers; created /update/json: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2014-11-07 15:58:31.190; org.apache.solr.core.RequestHandlers; created /update/csv: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2014-11-07 15:58:31.190; org.apache.solr.core.RequestHandlers; created /update/json/docs: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2014-11-07 15:58:31.195; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2014-11-07 15:58:31.196; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2014-11-07 15:58:31.198; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2014-11-07 15:58:31.198; org.apache.solr.core.RequestHandlers; created /export: solr.SearchHandler
INFO  - 2014-11-07 15:58:31.199; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
WARN  - 2014-11-07 15:58:31.200; org.apache.solr.core.RequestHandlers; Multiple requestHandler registered to the same name: /update ignoring: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2014-11-07 15:58:31.200; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
INFO  - 2014-11-07 15:58:31.200; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
INFO  - 2014-11-07 15:58:31.201; org.apache.solr.core.RequestHandlers; created /update/extract: solr.extraction.ExtractingRequestHandler
INFO  - 2014-11-07 15:58:31.201; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2014-11-07 15:58:31.201; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2014-11-07 15:58:31.201; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
INFO  - 2014-11-07 15:58:31.202; org.apache.solr.core.RequestHandlers; created /analysis/document: solr.DocumentAnalysisRequestHandler
INFO  - 2014-11-07 15:58:31.203; org.apache.solr.core.RequestHandlers; created /admin/: solr.admin.AdminHandlers
INFO  - 2014-11-07 15:58:31.206; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
INFO  - 2014-11-07 15:58:31.207; org.apache.solr.core.RequestHandlers; created /debug/dump: solr.DumpRequestHandler
INFO  - 2014-11-07 15:58:31.217; org.apache.solr.core.RequestHandlers; created /replication: solr.ReplicationHandler
INFO  - 2014-11-07 15:58:31.217; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-11-07 15:58:31.217; org.apache.solr.core.RequestHandlers; created /spell: solr.SearchHandler
INFO  - 2014-11-07 15:58:31.218; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-11-07 15:58:31.218; org.apache.solr.core.RequestHandlers; created /suggest: solr.SearchHandler
INFO  - 2014-11-07 15:58:31.218; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-11-07 15:58:31.218; org.apache.solr.core.RequestHandlers; created /tvrh: solr.SearchHandler
INFO  - 2014-11-07 15:58:31.218; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-11-07 15:58:31.218; org.apache.solr.core.RequestHandlers; created /terms: solr.SearchHandler
INFO  - 2014-11-07 15:58:31.219; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-11-07 15:58:31.219; org.apache.solr.core.RequestHandlers; created /elevate: solr.SearchHandler
INFO  - 2014-11-07 15:58:31.234; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-11-07 15:58:31.236; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-11-07 15:58:31.237; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-11-07 15:58:31.237; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
